Title,Author,Goodreads Rating
Artemis Fowl and the Eternity Code,Eoin Colfer,4.05
Artemis Fowl and the Time Paradox,Eoin Colfer,4.07
Percy Jackson and the Sea of Monsters,Rick Riordan,4.24
Percy Jackson and the battle of Labyrinth ,Rick Riordan,4.39
Percy Jackson and the last olympian,Rick Riordan,4.51
Skelton Creek,Ryan's Journal,4.07
Jinx,Meg Cabot,3.71
How to have a beautiful mind,Edward De Bono,3.64
Tinkle Vol 11 No.3,-,4.5
Tinkle Vol 8 No. 11,-,4.5
Madonna,Andrew Morton,3.78
Leadership Handbook,-,3.66
Spiritual Healing,Jack Angelo,4.44
The Bhagavadgita,-,4.42
Terror on Board,"U B Bhat, Sanjive Sharma",4.2
Thinking Course,Edward De Bono,3.85
The art of thinking clearly,Rolf Dobelli,3.83
Airport,Arthur Hailey,3.94
Master of the Game,Sidney Sheldon,4.11
The Fellowship of the ring,J R R Tolkien,4.35
The Prodigal Daughter,Jeffrey Archer,3.94
Kane and Abel,Jeffrey Archer,4.29
The Fountainhead,Ayn Rand,3.86
The Da Vinci Code,Dan Brown,3.82
The Monk Who Sold His Ferrari,Robin Sharma,4
The Girl Who kicked the hornets' nest,Stieg Larsson,4.22
Stone Cold,David Baldacci,4.13
How to win friends and influence people,Dale Carnegie,4.18
Stop Complaining: Start Thinking,J.P. Vaswani,5
The Elusive Flame,Kathleene Woodiwiss,4.02
That cowboy's Kids,Debra Salonen,3.81
The Road Less travelled,M. Scott Peck,4.2
"The fear index, The house of silk, Lethal, The haunting",,3
The Solar System ,Scholastic,4.37
The Sky is Falling,Sidney Sheldon,3.55
Diary of a Wimpy kid(A novel in cartoons),Jeff Kinney,4.75
Diary of a Wimpy kid(Rodrick rules),Jeff Kinney,4.21
Diary of A Wimpy Kid(The Ugly Truth),Jeff Kinney,0
The Count of Monte Cristo,Alexandre Dumas,4.24
The Princess Diaries( After eight),Meg Cabot,3.7
The Princess Diaries,Meg Cabot,3.78
Who Moved My Cheese,Dr. Spencer Johnson,3.78
Sisters,Diana G Gallagher,4.07
Chicken Soup for the Soul,Jack Canfield and Mark Victor Hansen,3.96
The Da Vinci Code,Dan Brown,3.82
Patriot games,Tom Clancy,4.13
The Night train at Deoli and other stories,Ruskin Bond,4.16
Chicken Soup for the Soul(6th bowl),Jack Canfield and Mark Victor Hansen,4.07
Chicken Soup  for the soul(3rd serving),Jack Canfield and Mark Victor Hansen,3.99
Chicken Soup for the Soul(4th serving),Jack Canfield and Mark Victor Hansen,3.99
Oxford beginner's French Dictionary,Oxford,4.5
Easy Way to French,Dr. Sanjay Kumar,3.74
The Adventures Of Tom Sawyer,Mark Twain,3.9
The Jungle Book,Rudyard Kipling,3.93
Treasure Island,Robert Louis Stevenson,3.83
"20,000 leagues under the sea",Jules Verne,3.89
Everyday Letter Writing,T Narayana Iyengar,0
"Ancient Tales of Wit, Wisdom and Humour",S P Sharma,5
Popular Riddles,,3.15
Science Quiz,T Narayana Iyengar,5
Paandi,,3.75
My why book,,4.42
The Venetian Betrayal,Steve berry,3.95
The Prey,Allison Brennan,3.74
Homecoming,Belva Plain,4.04
Honor Thyself,Danielle Steel,3.77
Memoirs of Geisha,Arthur Golden,4.1
Priceless,Sherryl Woods,3.46
The Silent Sea,Clive Cussler,4.1
Strike Force,Dale Brown,4.02
Hannibal ,Thomas Harris,3.75
Cold hearted,Beverly Barton,3.87
Dead before dark,Wendy Corsi Staub,3.99
the collectors,David Baldacci,3.99
Scream For Me,Karen Rose,4.22
The Third Victim,Lisa Gardner,4.16
Lady killer,Lisa Scottoline,3.97
Titanic ,Michael Davie,3.6
"Beyond Ice, Beyond death",Thomas McCall,3.22
Deadline,Sandra Brown,4.07
The Bancroft Strategy,Robert Ludlum,3.81
Memories Of Midnight,Sidney Sheldon,3.7
Know About your body(Body-care),,4.42
The Chess Course,,4.17
Pride and Prejudice(aliied classics),Jane austen,4.25
Embroidery,,3.85
guru Arjan,,0
Space,,4.14
What's under the sea ,Scholastic,4.01
Book of Magical Images,Disney,4.37
This is my House,Richard Scarry,3.5
Sleeping Beauty,Ladybird,3.74
"Life, the universe and everything",Douglas Adams,4.2
Linda Goodman's Sun Signs,Linda Goodman,4.11
Gitanjali,Rabindranath Tagore,4.33
Magic,Isaac Asimov,4.09
Eldest,Christopher Paolini,3.98
Into Thin Air,Jon Krakauer,4.15
The Diary Of A Young Girl,Anne Frank,4.12
Best Stories Of O' Henry,,4.26
"So Long, and thanks for all the Fish",Douglas Adams,4.09
Congo,Michael Crichton,3.58
The Girl who played with Fire,Steig Larsson,4.23
There's Treasure Everywhere( Calvin And Hobbes),Bill Watereson,4.75
New Moon,Stephenie Meyer,3.53
The short second life of bree tanner,Stephenie Meyer,3.5
Harry Potter and the cahamber of secrets,JK Rowling,4.41
Harry Potter and the prisoner of Azkaban,JK Rowling,4.55
Magic for Beginners,Harry baron,3.82
It's A Small World,,4.3
In So Many Words,,4.05
The Other side of me,Sidney Sheldon,3.68
Five point someone,Chetan Bhagat,3.43
The Chronicles of Narnia and the silver chair,C.S.Lewis,3.96
Eight O'clock tales,Enid Blyton,3.79
The Enchanted woods,Enid Blyton,4.25
Afternoon of the elves,Janet Taylor Lisle,3.61
The Magician's Nephew(The Chronicles of Narnia),C.S. Lewis,4.03
Tinkle digest vol. 12 no.2,,4.5
Tinkle digest vol. 10 no. 9,,4.5
Who moved my cheese,Dr Spencer Johnson,3.78
High School Musical,Disney,4.08
The Starbucks Experience,Joseph A Michelli,3.78
Dot to Dot,alka,3.58
long time ago,dhingra,3.92
human to the rescue,amar chitra katha,3.42
Creating with collage,Scholastic,2.94
The pea-blossom,Dreamland,3.83
The test of my life ,Yuvraj Singh,4.08
Jugaad Innovation ,"Navi Radjou, Jaideep Prabhu, Simone Ahuja ",3.61
Life Scripts,,4.06
"The Broker, Sam's Letters to Jennifer, Blood Memory, Mosaic",Reader's Digest Special Edition,3.8
You Can Win,Shiv Khera,3.86
Success Stories,Reader's Digest Collection,4.13
You Can Negotiate Anything,Herb Cohen,3.85
Word Power,Reader's Digest,4.39
Bringing Up Kids,Reader's Digest,4.2
Executive Secretary's Handbook,Pauline Engel,3.68
Word Power 3,Reader's Digest,5
Check Your Own I.Q.,H.J.Eysenck,3.62
Personal Excellence,Ken Shelton,4.05
inspiring people: fifty who made a difference,Reader's digest,3.4
Success stories,Reader's digest,4.13
The fourth estate,Jeffery Archer,3.75
Love Signs,Linda Goodman,4.09
Sheer abandon,Penny Vincenzi,3.72
The DaVinci Code,Dan Brown,4.05
The Echo,Minette Walters ,4.05
1984',George Orwell,4.17
The Iliad ,Homer,3.85
Adultery,Paulo Coelho,3.04
The Da Vinci Code,Dan Brown,3.82
Luka and the Fire of Life,Salman Rushdie,3.62
A Prisoner of Birth,Jeffrey Archer,4.12
Brisingr,Christpher Paolini,4.05
Family Album,Danielle Steel,3.87
Impossible,Danielle Steel,4.08
Wanderlust,Danielle Steel,4.1
Answered Prayers,Danielle Steel,3.84
My journey,A.P.J Abdul Kalam,3.72
The Monk Who Sold His Ferrari,Robin Sharma,4
The Magic of thinking Big,David Schwartz,4.22
Who moved my cheese,Dr. Spencer Johnson,3.78
The Diary Of A Young Girl,Anne Frank,4.12
White Tiger,Aravind Adiga,3.73
Pop goes the weasel,James Patterson,3.99
The best laid plans,Sidney Sheldon,3.68
Critical ,Robin Cook,4.12
The Broker ,John Grisham,3.78
The Da Vinci Code,Dan Brown,3.82
Chicken Soup for the Teenage Soul,"Jack Canfield, Mark Victor Hansen and Kimberly Kirberger",3.92
Seduction by design,Sandra Brown,3.54
Physics of God,Kartikey Singh,4.31
Tinkle Digest Vol.9 No.8,Tinkle,4.5
Inferno,Dan Brown,4.01
Where Rainbows End,Cecelia Ahern,4.34
The 3 mistakes of my life,Chetan Bhagat,2.99
Mahabalipuram,Srinivas- J Prabhakar,4.25
Everyday Pilates,Alycea Ungaro,3.94
Gentle Yoga,Louise Grime,3.98
Total Body Workout,Joan Pagano,4.32
The Village By The Sea,Anita Desai,3.58
Danny the Champion of the World,Roald Dahl,4.08
Asterix and the magic carpet,Goscinny & Uderzo,3.92
Asterix and the Normans,Goscinny & Uderzo,4.13
Asterix and the Secret Weapon,Goscinny & Uderzo,3.69
The Phantom,Goscinny & Uderzo,3.97
Tintin in Tibet,Herge,4.21
Nobody's Child,Hector Malot,4.14
Peter Pan,JM Barrie,4.09
The Mystery Club - Deadly Games,Fiona Kelly,3.61
The Secret Seven - Secret Seven Adventure,Enid Blyton,4.15
The Castle of Adventure,Enid Blyton,4.11
Goosebumps - My Hairiest Adventure,R. L. Stine,3.36
King Arthur and the Knights of the Round Table - Illustrated,Sir Thomas Malory,4.25
Harmony,,3.53
A Treasure Trove of Short stories,S Chakravathi,4.54
A Treasure Trove of Short stories,S Chakravathi,4.54
The Winslow Boy ,Terrence Rattigan,3.76
Joyful living,,4.35
The Hardy Boys - Racing to Disaster,Franklin W Dixon,3.69
The Hardy Boys - Tricks of the Trade,Franklin W Dixon,3.8
The Hardy Boys - Crusade of the Flaming Sword,Franklin W Dixon,3.74
The Hardy Boys - Day of the Dinosaur,Franklin W Dixon,3.67
The Beautiful Pattern ,Enid Blyton,4.17
A short history of the world ,H. G. Wells,3.87
Zen and the art of Motorcycle maintainence ,Robert M Pirsig,3.77
Time Keeper,Mitch Albom,3.86
The Accidental Prime Minister,Sanjaya Baru,3.69
David Copperfield,Charles Dickens,3.98
Most Popular Classics,,3.74
A Girl Like Me,Swati Kaushal,3.54
Tell-A-Story,Enid Blyton,4.01
Tales Of Betsy-May,Enid Blyton,3.71
Pink or Black 2,Tishaa,3.82
"New Zealand, travel guide",,4.19
Pink pages,,4.2
The Famous Five,Enid Blyton,4.08
Ramayana ,C. Rajagopalachari,4.11
Wishful Thinking,Alexdra Bullen,3.62
The Greatness Guide,Robin Sharma,3.91
The Invisible Man,H.G.Wells,3.85
The Water Babies,Charles Kingsley,3.37
Anticipating India ,Shekhar Gupta,3.59
The Time Keeper,Mitch Albom,3.86
The Tales of Beedle and Bard,J.K Rowling,4.08
Fantastic Beasts and where to Find them,J.K Rowling,3.99
Quidditch Through the ages,J.K Rowling,3.86
Alchemist,Paulo Coelho,3.85
Half girlfriend,Chetan Bhagat,3.16
The Racketeer,John Grisham,3.81
Private India,Ashwin Sanghi and James Patterson,3.35
Best Kept Secret,Jeffrey Archer,3.76
Scion of Ikshvaku,Amish Tripathi,3.76
Business at the speed of thought,Bill Gates,3.79
A thousand splendid suns,Khaled Hosseini,4.36
Avenger,Frederick Forsyth,4.38
The Search ,John Battelle,4.35
Gitanjali,Rabindranath Tagore,4.33
The negotiator,Frederick Forsyth,3.97
Putting the one minute manager to work,"Kenneth Blanchard, Robert Lorber",3.94
Made in japan,Akio Morita and Sony,4.04
Don't Sweat The Small Stuff,Richard Carlson,3.88
Future Shock,Alvin Toffler,3.77
Heads and Tails,Maneka Gandhi,4.02
Govinda,Krishna Udayasankar,3.82
Kaurava,Krishna Udayasankar,3.97
Kaurava,Krishna Udayasankar,3.97
Kurukshetra,Krishna Udayasankar,4.09
One Indian Girl,Chetan Bhagat,3.24
An outline of jainism,Muni Rajyash,4.5
Golden Quotes vol-2,Geoffrey Moss,3.83
Book of Hindu names,Maneka Gandhi,3.69
How to interpret your dreams,-,4.67
Jainism ,Herbert Warren,4.31
Acupressure and fitness,H. Bhojraj,5
Speedball Textbook for pen and brush lettering,-,4.33
The book of wisdom Volume-1,Stephen W. K. Tan,3.97
Baby names,Vimla Patil,3.82
My Sandwich,Wendy Blaxland,3.99
Froggy goes to the doctor,Jonathan London,4.05
Aesop's Fables,-,4.05
Guess how much I love you,Sam McBratney,4.36
Pedro and the present,-,3.74
Goldilocks and the three bears,-,4.05
Jack and the beanstalk,-,3.93
Wild Animals,-,4.11
Pocahontas,-,4.01
Safety first,-,3.48
Music player storybook,-,4.17
Handle with Care,Jodi Picoult,3.97
Keeping Faith,Jodi Picoult,3.79
The 8th Habit ,Stephen R. Covey,4
The spy,Paulo Coelho,3.95
Crucial conversations,Patterson. Grenny. McMillan. Switzler,4.01
golden fire,jonathan fast,3.22
Catherine,maureen dunbar,3.91
The siamese cat,phyllis lauder,4.01
voice of the eagle,linda lay shuller,4.18
The north sea,malcom macgarvin,4.1
Acry from the wild,Lissa ruben,4
Hold the dream,Barbara taylor bradford,4.12
Dear Tom,Tom courtenay,3.88
Epigrams,oscar wilde,4.02
The Sister's keeper,jodi picoult,4.07
A Tale of Two Cities,Charles dickens,3.83
Break that code,,4.34
Adventures of Tom Sawyer,,3.9
"Gulliver's travels, part 1",Jonathan Swift,3.56
"Gulliver's travels, part 2",Jonathan Swift,3.56
The Story of My Life,Helen Keller,4.08
Madhubala,Mohandeep,3.62
Meditation and Life,Swami chinmayan,4.12
Jonathan Livingston Seagull,Richard Bach,3.82
Meditate,Swami Muktananda,3.99
Use Your Memory,Tony Buzan,3.79
Ayurveda,,4.08
Bollywood,Ashok Banker,3.73
bollywood melodies,Ganesh Anantharaman,3.7
Absolute Truths,Susan Howatch,4.11
The bridge across forever,Richard Bach,3.89
The Evening News,Arthur Hailey,3.91
Walkabout,Bill Bryson,3.49
Murder in the Cathedral,T.S. Eliot,3.76
Storm in Chandigarh,Nayantara Sahgal,3.25
Skin and other stories,Roald Dahl,4.06
The X files #2,"Kenneth Biller ,Ellen Steiber",3.44
Alias The Pursuit,"Lizzie Skurnick, Michael Vaughn",3.72
The Hardy Boys: Tricks of the Trade,Franklin W Dixon,3.8
Buffy The Vampire Slayer The Angel chronicles vol 1,,4.02
Buffy The Vampire Slayer.The journals of Rupert Giles,Nancy Holder,3.8
Buffy The Vampire Slayer The Angel chronicles vol 3,,4.05
Children's Omnibus,Ruskin Bond,4.26
The Quest of the Missing Map Nancy Drew,Carolyn Keene,3.88
Nancy Drew Ghost Stories,Carolyn Keene,3.73
Nancy Drew The Moonstone Castle Mystery,Carolyn Keene,3.93
Nancy Drew Files Very Deadly Yours,Carolyn Keene,3.64
Nancy Drew Crime in the Queen's Court,Carolyn Keene,3.87
Nancy Drew The Mysterious Image,Carolyn Keene,3.76
Nancy Drew Hit and Run Holiday,Carolyn Keene,3.76
My experiments with truth,M.K. Gandhi,4.07
The Money Launderers,Robert  E Powis,4.2
The Discoverers,Daniel J Borstin,4.34
The private life of Mona Lisa,Pierre La Mure,3.99
The left Hand of God,William E Barrett,3.65
The Quantity Theory Of Insanity,Will Self,3.69
Trinity,Leon Uris,4.24
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19
"The House of the Seven Gables, The Scarlet Letter",Nathaniel Hawthrone,3.45
The Glory ,Herman Wouk,3.99
The Novel ,James A Michener,4.05
In Country,Bobbie Ann Mason,4.13
The Rule of Four,Ian Caldwell and Dustin Thomason,3.22
The Fist of God,Frederick Forsyth,4.01
Deliverance,James Dickey,3.87
The Fountainhead,Ayn Rand,3.86
Lajja,Taslima Nasrin,3.47
Great Expectations,Charles Dickens,3.76
The City Boy,Herman Wouk,4.05
Fiesta,Ernest Heminway,4.11
The Alchemist,Paulo Coelho,3.85
The perks of being a wallflower,Stephen Chbosky,4.2
Shock,Robin Cook,3.77
The guardian ,Nicholas Sparks,4.15
Dear John,Nicholas Sparks,4.03
True Believer,Nicholas Sparks,3.77
The wedding,Nicholas Sparks,3.98
Safe Haven,Nicholas Sparks,4.2
The Notebook,Nicholas Sparks,4.08
Love Story,Nicholas Sparks,3.61
Gerald's Game,Stephen King,3.49
The Secret Seven Secret Seven Mystery,Enid Blyton,3.88
The Famous Five Five on a secret trail,Enid Blyton,3.94
The Famous Five Go to Demon's rocks,Enid Blyton,3.96
The Famous Five Five get into a fix,Enid Blyton,3.93
The Sea of Adventure,Enid Blyton,4.08
The Mystery of the Strange Messages,Enid Blyton,4.03
The Mystery of the Missing Man,Enid Blyton,3.94
The Mystery of the Pantomime Cat,Enid Blyton,3.99
The Mystery of the Vanished Prince,Enid Blyton,3.97
The Mystery of the Hidden House,Enid Blyton,3.98
The Mystery of the Secret Room,Enid Blyton,4.03
The Mystery of the Strange Bundle,Enid Blyton,3.92
The Mystery of the Missing Necklace,Enid Blyton,3.97
The Mystery of the Disappearing Cat,Enid Blyton,3.94
Sweet Valley High Perfect Summer,Francine Pascal,3.56
Sweet Valley High Malibu High,Francine Pascal,3.57
Sweet Valley High Spring Break,Francine Pascal,3.61
Sweet Valley High Winter Carnival,Francine Pascal,3.56
Sweet Valley High Dear Sister,Francine Pascal,3.53
Sweet Valley High Too Good to be True,Francine Pascal,3.41
Sweet Valley High Model Flirt,Francine Pascal,3.57
Sweet Valley High Deceptions,Francine Pascal,3.45
Sweet Valley High Love Letters For Sale,Francine Pascal,3.54
Sweet Valley High Out of Control,Francine Pascal,3.35
Sweet Valley High Memories,Francine Pascal,3.48
Sweet Valley High Brokenhearted,Francine Pascal,3.54
Sweet Valley High Saga the Wakefield Legacy The Untold Story,Francine Pascal,3.94
Sweet Valley High Are we in Love,Francine Pascal,3.38
SVH Can't Stay Away,Francine Pascal,3.61
SVH Stay or Go,Francine Pascal,3.41
"Sweet Valley Jr, High True Blue",Francine Pascal,3.53
Two of a kind How to flunk your first date,Mary-kate Olsen Ashely Olsen,3.53
Two of a kind Shore Thing,Mary-kate Olsen Ashely Olsen,3.62
Two of a kind Hocus Pocus,Mary-kate Olsen Ashely Olsen,3.7
Two of a kind The Facts about flirting,Mary-kate Olsen Ashely Olsen,3.42
So little time boy crazy,Mary-kate Olsen Ashely Olsen,3.44
When Moms Attack,Lizzie McGuire,3.74
The Lizzie McGuire Movie,Lizzie McGuire,3.87
Mirror Mirror,Lizzie McGuire,3.28
Nancy Drew The Teen Model Mystery,Carolyn Keene,3.79
Nancy Drew Mystery By Moonlight,Carolyn Keene,3.89
Nancy Drew The Twin Dilemma,Carolyn Keene,3.87
The Nancy Drew Files Choosing Sides,Carolyn Keene,3.58
The Nancy Drew Files The Cheating Heart,Carolyn Keene,3.66
Nancy Drew on Campus Getting Closer,Carolyn Keene,3.23
Nancy Drew on Campus False Friends,Carolyn Keene,3.26
The Mystery of the Stolen Statues,Maya S. Achar,3.95
The Wedding Wager,Cathy Maxwell,3.55
A country Christmas,Jackie Weger,4
Other Women ,Lisa Alther,3.46
Stolen Kisses,Kate Dononvan,3.75
Three outback Brides (3 in 1),"Margaret Way , Barbara Hannay, Amy Andrews",4.06
The Notorius Gabriel Diaz,Cathy Williams,3.56
A pawn in the playboy's Game,Cathy Williams,3.01
My Secret Wife,Cathy Gillen Thacker,3.33
The lion Rock,Sally Wentworth,2.41
Best Friends,Lynda Trent,3.5
Fortune is a Woman,Elizabeth Adler,4.23
Broken Threads,Tessa Barclay,3.8
Sicilian Vengeance,Sara Wood,3
Falling for the enemy,Shawna Delacorte,3.99
Beloved Mercenary,Helen R Myers,2.5
Shut up and Kiss Me,Sara Orwig,3.85
Hostile Engagement,Jessica Steele,2.9
Once and for Always,Stella Cameron,4.21
Baby-sitters on Board,Ann M. Martin,3.86
Just as Long as We're together,Judy Blume,4.07
The first Woman Doctor,Rachel Baker,3.9
The Complete Adventures of Feluda Volume 2,Satyajit Ray,4.55
The omen,David Selttzer,4
The battle of Evernight,Cecilia Dart Thornton,3.73
QBVII,Leon Uris,4.18
Alias Free Fall,Christa Roberts,3.7
GoodBye Doesn't mean forever,Lurlene McDaniel,4.07
Precious Pretender,Stella Bagwell,3.57
Prom Time Sabrina the Teenage Witch,Bobbi JG Weiss and David Cody Weiss,3.48
Aesops Fables,-,4.05
My Book of Goodnight Stories,-,4.06
In the King's shoes & The Smelly Little Dog,-,3.71
What do you do with a Grumpy Kangaroo?,-,3.39
The wonderland of AIr,RK Murthi,0
Grandma's Stories,-,4.37
The Book Of Earth,Tony Wolf,3.98
More Aesop's Fables,-,5
Unlikely Friendships,Jennifer S. Holland,3.93
"Mad, Bad & Dangerous to Know",Ranulph Fiennes,3.98
Touching Distance,Graham Hurley,4.23
Mrs Hemingway,Naomi Wood,3.82
Bridget Jones's Diary,Helen Fielding,3.76
Briainstorm,Daniel J Siegel,3.79
Neither Here Nor There,Bill Bryson,3.87
Shakespeare,Bill Bryson,3.74
The Full Cupboard of Life,Alexander McCall Smith,4.02
A Mother's Scarifice,Kitty Neale,4.14
A Daugher's Disgrace,Kitty Neale,4.29
NYPD Red 4,James Patterson & Marshall Karp,4
Angela's Ashes,Frank McCourt,4.09
Inglorious,Joanna Kavenna,2.82
Maximum Security,Robert Muchamore,4.26
The Killing,Robert Muchamore,4.05
Eagle Day,Robert Muchamore,4.12
Mystic River,Dennis Lehane,4.18
Anybody Out There,Mairian Keyes,3.91
The Money Diet,Martin Lewis,4.04
The Lake House,Kate Morton,4.05
The Know,Martina Cole,4.18
Birds of Prey,Wilbur Smith,4.18
Home conversions The complete Handbook,-,2
Geronimo Stilton The Kingdom of Fantasy,-,4.6
Would you believe cobwebs stop wounds bleeding,Richard Platt,5
The Intelligent Investor,Benjamin Graham,4.23
The Adevntures of Tom Sawyer,Mark Twain retold by Marie Coghill ,3.9
Laughter the best medicine,-,3.69
About Greece,-,4.18
Superstar India,Shobhaa De,2.73
Children's Knowledge Bank 6,"Sunita Gupta, Nina Agarawal",4.29
Elementary Chinese Part 1,-,4
Teach Yourself Portugese,-,3.6
Hawaii,James A Michener,4.2
Dinner at Antoine's,Frances Parkinson Keyes,3.7
The Don Flows Home To The Sea,Mikhail Sholokhov,4.18
The Golden Hand,Edith Simon,3.9
Death of A Citizien,Donald Hamilton,3.9
The Carpetbaggers,Harold Robbins,3.93
A Thunder At Dawn,Jack Hoffenberg,4.1
Of Human Bondage,W. Somerset Maugham,4.13
When Eight Bells Toll,Alistair Maclean,3.97
Let Love Come Last,Taylor Caldwell,3.75
Jonathan Livinston Seagull,Richard Bach,3.82
Moby Dick,Herman Melville,3.49
Great Expectations,Charles Dickens,3.76
The Count of Monte Cristo,Alexandre Dumas,4.24
Hang the Men High,Noel Loomia and Paul Leslie Peil,0
David Copperfield,Charles Dickens,3.98
Billy The Kid,Edwin Corle,3.99
Sherlock Holmes: His Last Bow,Sir Arthur Conan Doyle,3.86
Jane Eyre,Charlotte Bronte,4.11
Tom Brown's Schooldays,Thomas Hughes,3.39
Army Without Banners,Ernie O'Malley,0
The Tao of Pooh,Benjamin Hoff,4.02
Havoc By Accident,Georges Simenon,4
The Ambassadors,Henry James,3.65
The Odyssey,Homer,3.75
Jane Eyre,Charlotte Bronte,4.11
The Secret of Phantom Lake,Alfred Hitchcock,3.78
The Heart of A goof,P.G. Wodehouse,3.93
The Wind in the Willows,Kenneth Grahame,3.99
The Glass Blowers,Daphne DuMaurier,3.61
Mission to Malaspiga,Evelyn Anthony,3.45
The Godfather,Mario Puzo,4.37
The Annotated Alice,Lewis caroll,3.91
The Road to Gandolfo,Robert Ludlum,3.64
The Winter of Our Discontent,John Steinbeck,3.99
The Human Factor,Graham Greene,3.92
The Crash of 79,Paul E. Erdman,3.69
The Mother,Pearl S. Buck,3.84
The Arabs,Anthony Nutting,4.18
Masterman Ready,Captain Marryat,3.7
The Woman and The Sea,Mary Ellen Chase,3.88
Drink with the Devil,Jack Higgins,3.85
The Pickwick Papers,Charles Dickens,3.83
Flight Into Camden,David Storey,3.2
Lev Tolstoy,Victor Shklovsky,4.21
Black Boy,Richard Wright,4.05
The Lives of A Bengal Lancer,Francis Yeats Brown,3.51
Pilgrim's Progress,John Bunyan,3.99
Verse,John Updike,3.71
Stories from the bible,Blanche Wilson,3.78
Living Truth,-,4.32
Overcoming Rheumatism and Arthritis,Phyllis Speight,0
Physical fitness,Royal Canadian Airforce,4.12
The Enabler when helping harms the one you love,Angelyn Miller,4
Nursing,British Red Cross Society,4.11
Natural Remedies for Health and Well Being,Enrique Garza,3.96
World-Famous Great Lives Vol 2,Ajay Kumar Kothari and Vishwa Mithra Sharma,0
How to Play Chess,R. L. Mitchell,3.57
Chess,-,4.29
Badminton,-,3.67
Everybodys Book of Facts,-,4
Mathemagic,Raymond Blum,3.94
Numbers for Fun,K.R.K Murthy,0
You be the Detective,-,3.63
Who Dunnit,-,3
501 fascinating Facts,-,3.92
Book of Facts,-,4.13
Car Care,-,3.63
Basketball,-,3.98
10 minute Card Games,William A. Moss,3.5
The Guide to the Night Sky,P N Shankar,4.08
The Animal Kingdom,Sali Money,3.87
Delhi,-,3.76
The Famous Five Go on Television,Enid Blyton,3.62
The hunchback of Notre-Dame,Victor Hugo,3.99
David Copperfield,Charles Dickens,3.98
All about Birds,-,4.09
Five go to Mystery Moor,Enid Blyton,3.96
Through the Looking Glass,Lewis Caroll,4.07
The Mystery of the Spiteful Letters,Enid Blyton,4.02
Good Old Secret Seven,Enid Blyton,3.81
Best of Sherlock Holmes,Sir Arthur Conan Doyle,4.23
The Four Cousins,Enid Blyton,3.85
Journeys of Exploration,R. K. Murti,4.21
Nancy Drew and Hardy Boys The Secret of the Knight's Sword,Carolyn Keene and Franklin Dixon,3.67
Secret Seven on the Trail,Enid Blyton,3.82
Wizard's first rule,Terry Goodkind,4.14
Stone of Tears,Terry Goodkind,4.11
Faith of the fallen,Terry Goodkind,4.12
Soul of the fire,Terry Goodkind,3.87
Temple of the Winds,Terry Goodkind,4.03
Blood of the Fold,Terry Goodkind,3.99
Pleading Guilty,Scott Turow,3.75
Chronicles of Avonlea,L. M. Montgomery,3.92
Anne of the Island,L. M. Montgomery,4.22
Anne of Windy Poplars,L. M. Montgomery,4.07
Anne's House of Dreams,L. M. Montgomery,4.13
Anne of Ingleside,L. M. Montgomery,4.05
Those in Peril,Wilbur Smith,3.5
Predator,Wilbur Smith with Tom Cain,3.68
Golden Lion,Wilbur Smith with Giles Kristian,3.77
A time to Die,Wilbur Smith,4.38
The Quest,Wilbur Smith,4.23
Ford County Stories,John Grisham,3.61
Playing for Pizza,John Grisham,3.43
The Street Lawyer,John Grisham,3.83
The Appeal,John Grisham,3.59
Redemption,Leon Uris,4.37
A God in Ruins,Leon Uris,3.93
A Most Wanted Man,John Le Carre,3.49
Absolute Friends,John Le Carre,3.61
The Constant Gardener,John Le Carre,3.79
Single & single,John Le Carre,4.1
Our Game,John Le Carre,3.7
Detective,Arthur Hailey,3.77
Jailbird,Kurt Vonnegut,3.81
One Day,David Nicholls,3.78
A Season in Hell,Jack Higgins,4.12
HomeLand,John Jakes,4.28
The Killing Kind,John Connolly,4.23
A Prayer for Owen Meany,John Irving,4.23
The Man,Irving Wallace,3.75
The World's Greatest Short Stories,-,3.78
Centered Leadership,Joanna Barsh,4.09
Param Vir Our Heroes in Battle,Maj. Gen. Ian Cardozo,4.6
Captain Courageous,Rudyard Kipling,3.89
The Writing on My Forehead,Nafisa Haji,3.84
Bombay Rains Bombay Girls,Anirban Bose,3.33
Way to Go,Upamanyu Chatterjee,3.46
I shall not hear the nightingale,Khushwant Singh,3.61
Imagining India,Nandan Nilekani,3.83
Entry from backside only hazaar fundas of indian-english,Binoo K John,2.83
Kardamom Kisses,Shinie Antony,2.38
Above Average,Amitabh Bagchi,2.73
Light for my Path,-,4.36
Horizontal Paths,Phyllis Marteis,0
Monty - His Part in Victory,Spike Milligan,4.16
Reign in Hell,William Diehl,3.92
Rachel's Child,Jennifer Taylor,3
The Girl with the Dragon Tattoo,Steig Larsson,4.13
Lost in the Wild,Gail Douglas,3.99
Jian,Eric Van Lusrbader,4.11
Chasing Harry Winston,Lauren Weidberger,3.33
Everyone worth Knowing,Lauren Weidberger,3.4
The Other Brother,Jessica Steele,4.23
Hot Pursuit,Christina Skye,4.21
The Princess,Jude Deveraux,4.26
Troubadour,Patricia Potter,3.33
Autumn Harvest,Angel Milan,3.06
What to do about Baby,Martha Hix,3.09
The Wicked Duke Takes a Wife,Jillian Hunter,3.79
Belated Bride,Karen Hawkins,3.76
Lingering Shadows,Penny Jordan,3.23
