Title,Author,Goodreads Rating
The rings that bind,Michelle smart(mills and boon),3.37
A spanish awakening,Kim lawerence(Mills and boon),3.4
The billionaire's captive bride,Emma Darcy(Mills and Boon),3.4
A beauty uncovered,Andrea Laurence(Mills and Boon),3.66
Temptation on his terms,Robyn Grady(Mills & Boon),3.6
the Desert Sheikh's Captive Wife,Lynne Graham(Mills & Boon),3.57
Passion becomes you,Michelle reed(Mills and Boon),3.62
Rebel Baron,Shirl Henke,4.15
Roses for christmas,Betty Neels,3.97
The pregnancy proporsal,Helen Bianchin,3.3
Reader's Digest,-,3.96
Semester economics,"Appannaih, Redddy and Shanti",0
Statistics(1 pu),Raj Mohan,4.34
Reading and interpreting text(sem 1& 2),MCC,4.34
Texts and contexts,MCC,3.74
Stay Hungry Stay Foolis,Rashmi Bansal ,3.65
Statistics(2 pu),Raj mohan,4.36
Income Tax,"Gaur, Rajeev puri",4.13
Fondation programme,Csi,0
English and Business communication,CSI,3.76
Company law,Csi,3.74
The Adventurous Four - Shipwrecked!,Enid Blyton,3.93
The Rubadub Mystery,Enid Blyton,3.97
Return to the mystery series - 3 in 1,Enid Blyton,4.31
The Famous Five - 3 in 2,Enid Blyton,4.16
The Amber Spyglass,Philip Pullman,4.08
The Adventures Of Sherlock Holmes,Sir Arthur Conan Doyle,4.31
"Dear dumb diary, my pants are haunted",Jim Benton,4.02
No Boys Allowed,Marilyn Levinson,3.61
Mary-Kate and Ashley- Unicorn Mystery,,3.48
Steve Jobs : The man whi thought different,Karen Blumenthal,3.95
The Grand Design,"Stephen Hawking and
Leonard Mlodinow",4.03
Brida,Paulo Coelho,3.47
I have a dream,Rashmi Bhansal,3.69
Beautiful Creatures,Lulu Taylor,3.76
Visual Dictionary,,4.24
the abduction,John Grisham,3.48
Half the Man twice the Lawyer,John Grisham,3.78
adventure stories,book palace,3.9
reap what you sow,diwakar chitra katha,4.64
the gita,amar chitra katha,4.12
play of fate,diwakar chitra katha,3.78
the sting of word,diwakar chitra katha,0
the seven wonders of the modern world,navneet publication,4.75
